t_dat,zarticle,price,sales_channel_id,customer_id,article_id
2020/07/01,825577003,0.013542373,2,0,8650
2020/07/01,849487005,0.042355932,2,0,10368
2020/07/01,772659001,0.023711864,2,0,5530
2020/07/01,804732004,0.042355932,2,0,6915
2020/07/01,804732003,0.042355932,2,0,6914
2020/07/01,887949004,0.033881356,2,0,14026
2020/07/01,824194004,0.016932203,2,0,8504
2020/07/01,876461001,0.050830508,2,0,13089
2020/07/01,869796001,0.033881356,2,0,12514
2020/07/01,562498011,0.015237288,2,0,926
2020/07/01,788576001,0.033881356,2,0,6172
2020/07/01,844089001,0.023711864,2,17,10051
2020/07/01,843272001,0.027101695,2,17,9932
2020/07/01,697834002,0.013542373,1,17,2949
2020/07/01,750423011,0.018627119,1,17,4565
2020/07/01,749615010,0.02540678,1,17,4515
2020/07/01,708311016,0.016932203,1,17,3201
2020/07/01,838787001,0.013542373,2,17,9633
2020/07/01,752554002,0.016932203,1,20,4682
2020/07/01,850879001,0.02540678,1,20,10494
2020/07/01,500435125,0.013542373,1,20,497
2020/07/01,814614001,0.005067797,1,20,7720
2020/07/01,859711001,0.010152542,1,20,11487
2020/07/01,844501002,0.015237288,1,20,10092
2020/07/01,772565006,0.010152542,1,20,5524
2020/07/01,749699027,0.02540678,2,21,4529
2020/07/01,777224003,0.050830508,2,21,5693
2020/07/01,885710003,0.033881356,2,21,13870
2020/07/01,872000005,0.022016949,2,21,12692
2020/07/01,864231002,0.050830508,2,21,11973
2020/07/01,894682001,0.050830508,2,21,14496
2020/07/01,863665004,0.042355932,2,21,11933
2020/07/01,864231003,0.050830508,2,21,11974
2020/07/01,779551011,0.013542373,2,21,5750
2020/07/01,832481005,0.016932203,2,21,9209
2020/07/01,897765002,0.042355932,2,21,14647
2020/07/01,900176003,0.033881356,2,21,14738
2020/07/01,895418003,0.033881356,2,21,14542
2020/07/01,832465006,0.016932203,2,21,9194
2020/07/01,853680004,0.02540678,2,21,10831
2020/07/01,870345002,0.050830508,2,21,12543
2020/07/01,887770001,0.016932203,2,21,14003
2020/07/01,832465002,0.02540678,2,21,9192
2020/07/01,845046004,0.02540678,2,21,10124
2020/07/01,872233004,0.033881356,2,21,12719
