club_member_status,age,postal_code,customer_id
ACTIVE,44,930b19ae7db8abb5a27f4da10217755a7305b4c452f5e0b7644c8e97cbeef4f6,0
ACTIVE,34,5af3c7af7cfd5b817222d7f04f7f9bf6dbdaa51f3b6ca193c7b80715be3a6c93,1
ACTIVE,23,d4be14683db46b784630ef858b37b11cf08352b8014a379e533997ab07d2d0ee,2
ACTIVE,47,89125db58e99446654ab1d3f9ab0ed3acc4fe4791345881f3d9a0e903c20e052,3
ACTIVE,26,7b41c31322ac8806ab98b42d3c0724541edd62ca3535a779f12e7b5d6d364524,4
ACTIVE,25,7fe31d60a1a94fef716563ac4f3570edd9416c1124b7289e09373e2fa8aa8656,5
ACTIVE,49,390bd33b59fb918b81bce8467ae275b5d47091c60810e18a8e268434e99a55ef,6
ACTIVE,37,a9e65da00d9f5e3b88939cf7275dc1a8db3df5415ee15e375d6642c2059531d2,7
ACTIVE,36,923a13af49ed34a1d9356dc6cd539851bcdac03a454a6bbb2096673df069068a,8
ACTIVE,45,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c,9
ACTIVE,27,61d27120f3b8a5d4fa5973e8bc2bdb0621fd27633d1a380ca809327650265a5c,10
ACTIVE,27,cab34c6e49def0eec9c0aeb54f34de1fbeff4f944beaa6213b2ecf133705bb60,11
ACTIVE,46,27e6e93abf154fb2357de235cbb4e83a4de47b193ca37731da869c576942aae1,12
ACTIVE,39,a566bce6e80fa2e1c30f53124c27c1188a4795e41c438f0d3ff91bb23f26e33f,13
ACTIVE,51,2c4b1fcf1a36f3a3691c27ef02209b775bb004ffabdafad9b9bbcd67de2d1d2d,14
ACTIVE,29,c19c067a3a2ddb053ccb197efea8bf04c85d5b524625ee5e3870a48617a3ecde,15
ACTIVE,19,a1d24a042f292db7cdb110d1a699db4f77db3f2623d0009c225341ce47ea1473,16
ACTIVE,40,625526867d25f1e3a162655c8d4ff36c86838d100e76e7cc69de587bcd744a40,17
ACTIVE,27,e5141a1499049019c14721664539bb436fad4b067664b5063913e703a7e2a96c,18
ACTIVE,30,7d81fea7e0b9c27deb7bd9c46304e24d176a6aa2ced422379f41600faf16c4db,19
ACTIVE,69,7c38b4abbb57849724c3faa2650d52856603abce125dba7cbbf51f8887e242d4,20
ACTIVE,26,43557adaecfcae7dd526037f30fb8039bf8aab3acd7db735b0ef76d115246d8b,21
ACTIVE,30,9fed83e65957b04f55225e764f33b73a0626f2aed5b6dc1b8e85c361efc14841,22
