zcustomer_id,club_member_status,age,postal_code,customer_id
00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,ACTIVE,52,25fa5ddee9aac01b35208d01736e57942317d756b32ddd4564743b005a805b1d,0
0000b2f1829e23b24feec422ef13df3ccedaedc85368e6664d04ca30b2f8daff,ACTIVE,54,ca8ca81e8b5794992144273b0eada83a7e09ec728c1093b79ffcbbf15b12b599,1
000114c6996ef5703a8d455faf2103f8488d3928348e0739c92ff9e8897932db,PRE-CREATE,40,364bc321c321e34c5a94d539f8614609aa3d59fc5bbceb572213a7d941e704cc,2
0001177027259b455f979d85a278e4b280205d4de5cce4bb83ccbb8d5dbb4b92,ACTIVE,31,9a9d6e1a1a1092815671be3a44a1365b678ac3e51fba4e60980bde2188a400b3,3
0001b0127d3e5ff8dadcfc6e5043682dba2070f2667081623faeb31c996242a6,ACTIVE,20,6b9f8c4d66cbfcbceda285582a97ba7ffa482ed930426e728818f3d9c743f4f3,4
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,ACTIVE,25,a04505cd362b8b1e3f1d8d47d8b31163eae82f078182a1f83261560299f59cef,5
0002b7a7ab270a638fcb2eb5899c58696db24d9d954ddb43683dd6b0ffa292f0,ACTIVE,52,0a00cde1cdf7eeab1265e9e40e2ca4d34920dccd3a3e5d607672e433544aab30,6
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,ACTIVE,55,0bb723a1c843bf5ec45c0dc4deb04b285e0f704e2eb297b00ff474c781ccffc9,7
0002d5b37e064c0da06d559a51a082746ad3893d11a086d956b90b002313bdfe,ACTIVE,30,ad56402d0c85c4787b3d7d88a05860b4d3bc5be35d876ad5260992da1501fa0e,8
0002e6a17e3a75600888cac019846a600c9c6fe2bc1565613c6fa6c13f727071,ACTIVE,18,53c59467d0f76106835736898b29107c023d67bec19630692ffab25edbc39adf,9
0002f2f1deddc6f2504d96d65fa10ecbb22d7a13092b459efa085b5b9fec24c7,ACTIVE,49,349a7567745d13f6a84288542020a15bb6ebdec66fb14001761ae3d371f6cf30,10
00035e92a9bd02a8e28e2e59721663fdeb39bfd57c486023522686214a56ca16,ACTIVE,19,a333d7bfec3a5259d7adfd58c8a6955dbb205766d07fae929170889dfc5176d2,11
0003e867a930d0d6842f923d6ba7c9b77aba33fe2a0fbf4672f30b3e622fec55,ACTIVE,33,d647e4ede3d0eb4ce0750440a110350b5f4c758165d89d44c339133ea36d3bdf,12
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,ACTIVE,21,3951974b6d26c4c70127548d63ceb9def6335c977823f79132b7b976f699d1c7,13
0004ee708acad44b15ee324daffef7b379a1fdfd9826f39a3aabda9dacaea176,ACTIVE,45,f3975917a69ed511c7328860160499a070e79a67ceb8198f2f4152e854386d55,14
000538c14c490fee547e2703439f70bdb8748e2a62f875d63b7320c17ae20fc2,ACTIVE,25,664c939355ad7c8e6abefe70ce9584f6907315b497da59458a14d0c436014fdb,15
0005ef6698aeae9819c35dd1d63446f251797d07fe5b4a621beee30b36156181,ACTIVE,50,479d55130fc4de963136d2198715f35afdd370537179c4e6f1d3cafbb303c1ce,16
0005f3aab821000881d74b72fde2d9b3e4742cf86136681c6c7d107cd9452d59,ACTIVE,71,43b97ec1f1b9018a03049bac784e3b0fe42b78e7c1e4d7f1e629aa3d5b5e3307,17
0005f8253fe3d050aefcef07bedd5a557491b3fa658e318b2b9b0a22f71cfe81,ACTIVE,23,71187fdfeb903445fa81ff588e1bd7bc516896130b15badef68e393775b885ee,18
00066fdcf5f0da690b898b287d05ce477bd2764ce975d138489da03510a42833,ACTIVE,28,5b9c991f042448df8617f1c2044c697491b3e251455dd04ed959b26e5c5ffea4,19
0006d8845db202dc43bd6ed3d74702df026b13fc1517c956a26f93e4e7dde4fc,ACTIVE,28,62c64054d9be5fc873baa30e6f559e7323a5b6c59e67bfee4efa211fa8c41bac,20
0007c3ba357b0e54131e54d7a5d619263c5a9e6826308be892a821e9260ae928,ACTIVE,27,cf58bf86216446878391cee532eb4016efcf59a92ae9d057e8853952ea92558e,21
0007c93b2a5ff71d3358d0ee4391c47bbf6b8e7d4d2bf61e4b537943b13115ff,ACTIVE,22,0ed8ef5823a275c271beab29b533d323dd314aa5c93a1d811cfc26779008fde6,22
000aa9a7d9f776173f87d58e834e4dd36f3a2d7908ae4750690224f1055909f3,ACTIVE,40,14700fd992c14b1e240dbad4f4f8ed5537c3bc1a657e2bccd8bbd178f85a877d,23
000abc5e9575b453ff1cde1e5d644f1c671daef57e0f855ae4a530266ff88412,ACTIVE,32,f0dafb6f3bba0e97b057e08a0b3b9be1b5cbffcce01545eb38fc7009c9d64b3e,24
000ae8a03447710b4de81d85698dfc0559258c93136650efc2429fcca80d699a,ACTIVE,56,b37e6897df84bb2e7c43fe8ec0f5a20c8cbbf588e7d16520b33323005e39bd9b,25
000b31552d3785c79833262bbeefa484cbc43d7b612b3c8fc696260b5afaadc4,ACTIVE,59,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c,26
000b6c6124d1c9fc9225e14b2e37461f15c9198a37ac94f30f2d658445075a13,ACTIVE,38,93ed43d24ecec8c5ec66950981845730d213c2ba560f399fcad2cbc6c85d3a5b,27
000bb8a3a8be8ad1039aece8498c0b63f158fa04d8ef95ca66a6de7bef72b2e7,ACTIVE,32,6a632bf59601ffae21472256dc14dda7e9e89d7d2e60be46d0cc890e5f0ef1c2,28
000ca60ca6d8de6d3b4689e2da829d69db5947bd89084cd3a0849f4ea57375fd,ACTIVE,51,1114dab98e8ede6fb92cb115efe1d24772ae701d9ccebc59b87d9d7780c236f4,29
000d1ded1eefe83829e930cf215979a065070c5d98333e9e8f65f4c38b890d63,ACTIVE,30,925034e9ca85e156f818d653cada96893a9a67b40385fdfdd721bc5090348f71,30
000ee39f35322b568db9d7f39500ad1b58a6f8a3fc2abf3723e94884e6d4488c,ACTIVE,45,78e33e4d7bff56adc2ff87bdf9bd23103e75304e96387cec0f0693c65c5a4945,31
000f4d22ea7b4fc94704b3e6b7fb225b4f9dde7560cd380cb25f496f168ebbf8,ACTIVE,27,c6d7b58af387f941d2f89ab35b68b0ad32151e6242c794a540bf196b0d72b094,32
001196f2a9c835b764eb29533afb1e8f6e64a3d3c5b35a2a992fe95087e07297,ACTIVE,26,38bc5088673038e5abef9497a2513c16fcc66525f4e6a2cd614650840340fdd7,33
0011e0bd4c39195ff342c0ca0ac0601ce2b943a826550674298a5ba49d9f8e70,ACTIVE,22,250546b787d418095cef9b8d5935d75f7532e549752dc5caa3999d2d919e6300,34
001354f0aa112e85ad50b9bf85947f31d227f73c6f48a56d71bfe5b602f323fd,ACTIVE,46,f9d31217c48b942ea0cef14e30ba1afb81b84d907b5a08576235ac2877675f76,35
001357d1d1fdfd3f182dad2df9c0f0206876630d1d1b4eb62b269c3d69219b68,ACTIVE,21,181410b52d27aa985683ea313802545b1ee78cad4a248be271522c13737dcf58,36
0013bde09d10db6b0a6a3b0987ac60b643013dfc6f924b0e745e00ccb2726dbc,ACTIVE,27,c07bc76fc890182f7f1cd323f7127a17d4379eb4c6702da93f9e914448534230,37
0013ee45a60325aaa514eaa9941fc7c7bfd1f48ca2224ad1263283b9df5e653a,ACTIVE,24,c272326758078d4516ebe2801e20fe72ecce0ae50c3f642d4a0265876a21708b,38
0014af8e431562a90a9b67913eaf5c183fc67d591c4c37681dfb0f898ea4e0b2,ACTIVE,22,db49a50939e79daa44a585660f5881c4144501f0c1ad8cc1a10796941a08e575,39
0014d2caff86ba0121aeae24a564ba0e43b97b273bf4c7b7ed0a7fb9f55c14d3,ACTIVE,21,913d3809c8606ec8a935832f90aa3eee73cda3c3b3b7ba9b72c2029c81d43ba6,40
00150c4dbbaef4aae0a293193186c0dc35ad66adc0d66787c8e057c2a7a0620f,ACTIVE,51,59441ac441f3d762dac3ae9df66b3509d2df8da451e02d0fb1e088a9afeed637,41
001597a203568914926b852124d1def6d8bfd56358b25b93e2e71c588615e56e,ACTIVE,28,9ebf6c831aea1878ed72b157c967896f231410699b7428af3e591ae06d5427a7,42
0015a0903fe7da6553f1f2e29c0c5e386a3175d204e514d60dda31d25fe78f7f,ACTIVE,19,4988d36269883caba67885c889394a16cabbee2935bf80322ac21ad9911373d2,43
